iter	Passed	Remaining
649	1196	644
650	1198	642
651	1200	640
652	1201	638
653	1203	636
654	1204	634
655	1207	633
656	1209	631
657	1210	629
658	1212	627
659	1214	625
660	1216	623
661	1217	621
662	1219	619
663	1221	618
664	1223	616
665	1225	614
666	1226	612
667	1228	610
668	1229	608
669	1231	606
670	1233	604
671	1234	602
672	1236	600
673	1238	599
674	1240	597
675	1242	595
676	1243	593
677	1245	591
678	1247	589
679	1249	587
680	1250	585
681	1252	584
682	1254	582
683	1256	580
684	1257	578
685	1259	576
686	1261	574
687	1262	572
688	1264	570
689	1266	569
690	1268	567
691	1269	565
692	1271	563
693	1273	561
694	1275	559
695	1277	557
696	1278	555
697	1280	553
698	1282	552
699	1284	550
700	1285	548
701	1287	546
702	1289	544
703	1290	542
704	1292	540
705	1294	538
706	1296	537
707	1297	535
708	1299	533
709	1301	531
710	1302	529
711	1304	527
712	1306	525
713	1308	524
714	1309	522
715	1311	520
716	1313	518
717	1315	516
718	1316	514
719	1318	512
720	1320	510
721	1321	508
722	1323	506
723	1324	505
724	1326	503
725	1328	501
726	1330	499
727	1331	497
728	1333	495
729	1335	493
730	1337	492
731	1339	490
732	1340	488
733	1342	486
734	1344	484
735	1346	482
736	1347	481
737	1349	479
738	1351	477
739	1352	475
740	1354	473
741	1356	471
742	1357	469
743	1359	467
744	1361	466
745	1363	464
746	1365	462
747	1366	460
748	1368	458
749	1372	457
750	1373	455
751	1375	453
752	1377	451
753	1378	449
754	1380	447
755	1382	446
756	1384	444
757	1386	442
758	1388	440
759	1389	438
760	1391	437
761	1393	435
762	1394	433
763	1396	431
764	1398	429
765	1399	427
766	1402	425
767	1403	424
768	1405	422
769	1407	420
770	1408	418
771	1410	416
772	1412	414
773	1413	412
774	1415	411
775	1417	409
776	1419	407
777	1421	405
778	1422	403
779	1424	401
780	1426	399
781	1427	398
782	1429	396
783	1431	394
784	1433	392
785	1434	390
786	1436	388
787	1438	386
788	1439	385
789	1441	383
790	1443	381
791	1444	379
792	1446	377
793	1448	375
794	1450	374
795	1452	372
796	1453	370
797	1455	368
798	1457	366
799	1458	364
800	1460	362
801	1462	361
802	1464	359
803	1466	357
804	1467	355
805	1469	353
806	1471	351
807	1472	349
808	1474	348
809	1476	346
810	1478	344
811	1480	342
812	1482	340
813	1483	339
814	1486	337
815	1488	335
816	1489	333
817	1491	331
818	1493	330
819	1495	328
820	1497	326
821	1498	324
822	1500	322
823	1502	320
824	1503	319
825	1505	317
826	1508	315
827	1510	313
828	1512	311
829	1514	310
830	1515	308
831	1517	306
832	1519	304
833	1521	302
834	1523	301
835	1525	299
836	1527	297
837	1529	295
838	1530	293
839	1532	291
840	1534	290
841	1536	288
842	1538	286
843	1540	284
844	1542	282
845	1544	281
846	1546	279
847	1548	277
848	1549	275
849	1552	273
850	1555	272
851	1557	270
852	1558	268
853	1560	266
854	1562	264
855	1563	263
856	1566	261
857	1568	259
858	1570	257
859	1572	256
860	1575	254
861	1576	252
862	1578	250
863	1582	249
864	1584	247
865	1585	245
866	1587	243
867	1589	241
868	1591	239
869	1593	238
870	1595	236
871	1597	234
872	1599	232
873	1603	231
874	1605	229
875	1607	227
876	1609	225
877	1611	223
878	1613	222
879	1616	220
880	1618	218
881	1620	216
882	1622	214
883	1624	213
884	1626	211
885	1628	209
886	1629	207
887	1632	205
888	1634	204
889	1635	202
890	1637	200
891	1641	198
892	1643	196
893	1644	194
894	1648	193
895	1650	191
